,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name
0,1643493137,iPhone,1643493406.0,yoga,False,False,03720c70c3b244c2bd010f428659f23b,False,,Yoga Workout,8ed2400e5a9e4da6a56963da34f2805c,iOS_app,1643493166,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,258.0,2.0,,,1643493137,1643475137,,,,Ross Rayburn
1,1643414950,iPhone,1643416210.0,meditation,False,False,a29114bca81a49e29508b5dcf74ccacc,False,,Meditation Workout,470f7c857d7d4c03b7e8fc0cfe9e61a1,iOS_app,1643415010,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,28.0,1.0,,,1643414950,1643396950,,,,Ross Rayburn
2,1643411712,iPhone,1643412037.0,yoga,False,False,fae04e0a957242ff90ab32b5dcbc42b8,False,,Yoga Workout,ac36aa9c01a746d38192eab8c313ea86,iOS_app,1643411801,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,283.0,33.0,,,1643411712,1643393712,,,,Ross Rayburn
3,1643325218,home_bike_plus,1643325519.0,stretching,False,False,5bad0c590a9648beb01edab4bfd86dbb,False,,Stretching Workout,43947fafb5564fd6bfcfffad9eac6841,home_bike,1643325220,COMPLETE,Etc/GMT+5,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,323.0,0.0,,,1643325218,1643307218,,,,Jess King
4,1643324092,home_bike_plus,1643325052.0,cycling,True,True,52388b0838ba4c86a2ac9ce39c112bf5,True,cycling,Cycling Workout,fcc47c878df3402a873fe953a63b0e0a,home_bike,1643324150,COMPLETE,Etc/GMT+5,,106306.3,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,1018.0,2.0,,,1643324092,1643306092,,,,Jess King
5,1643284373,iPad,1643284472.0,yoga,False,False,abc579f4caf1460e8dcf72e1b08dd645,False,,Yoga Workout,3b221d6cb4984198a3b6a47ada859fac,iOS_app,1643284402,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,77.0,10.0,,,1643284373,1643266373,,,,Denis Morton
6,1643284207,iPad,1643284363.0,yoga,False,False,4fdefdca901d4911af5d46d2e9b20aa9,False,,Yoga Workout,643e19c073b84f65bb5857b268157e0b,iOS_app,1643284237,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,136.0,4.0,,,1643284207,1643266207,,,,Kristin McGee
7,1643016694,iPhone,1643017954.0,yoga,False,False,5421eeef4d524113866b00748bd0a90f,False,,Yoga Workout,07019d17c84744e9947725ebe9e586b1,iOS_app,1643016754,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,,,,,1643016694,1642998694,,,,Ross Rayburn
8,1642702486,iPhone,1642702618.0,meditation,False,False,96c917f1949d473aa0b021b4c83d1926,False,,Meditation Workout,b66ed094d53540558dc1b4b3edf0244a,iOS_app,1642702515,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,129.0,0.0,,,1642702486,1642684486,,,,Ross Rayburn
9,1642702312,iPhone,1642702432.0,yoga,False,False,d14167d668ba46adbec1b37c108356e6,False,,Yoga Workout,37f3d6ec8a294eb19266bf04cad3c1c7,iOS_app,1642702342,COMPLETE,America/New_York,,0.0,0b7e394a5ac04e8ea060453e4d20e80f,class,0,0,120.0,0.0,,,1642702312,1642684312,,,,Ross Rayburn
